id_str	text	from_user	created_at	user_followers_count	user_friends_count	clean_text
1453511771793371139	#ParoNacional ay está lindo el paro #NoAlParo puro delincuente https://t.co/Tk7NkWo465	cacaguate2021	2021-10-27 23:59:45+00:00	82	139.0	ay está lindo el paro puro delincuente
1453511632521502721	@wilfridolaz La gente sabe !! La gente entiende!! Que tu eres un esbirro odiador...cachorro de la oligarquía #LassoEsUnFracasso #LassoEsPaquetazo #LassoEvassor	Fernand10517208	2021-10-27 23:59:12+00:00	172	328.0	La gente sabe !! La gente entiende!! Que tu eres un esbirro odiador...cachorro de la oligarquía
1453511317394968576	¡Que belleza!  Deja ordenando que le archiven la investigación y se va a disfrutar del feriado fuera del país, y el pueblo que se joda.  Por cierto alguien a visto a la Fiscal 10/20? o al vicepresidente? Al parecer todavía le dura el chuchaqui de la boda del año...  #ParoNacional https://t.co/Z6PJemJ2mI	maferlarreaf	2021-10-27 23:57:57+00:00	565	363.0	¡Que belleza! Deja ordenando que le archiven la investigación y se va a disfrutar del feriado fuera del país, y el pueblo que se joda. Por cierto alguien a visto a la Fiscal 10 20? o al vicepresidente? Al parecer todavía le dura el chuchaqui de la boda del año...
1453511181805752330	@LassoGuillermo Si, pero vaya a la @AsambleaEcuador para ser investigado por los #PandoraPapers  Luego reclame lo q sea, total todos sabemos q Ud y la Romo tranzaron con los transportistas, por eso ellos se retiraron del #ParoNacional	alexazo	2021-10-27 23:57:25+00:00	305	305.0	Si, pero vaya a la para ser investigado por los Luego reclame lo q sea, total todos sabemos q Ud y la Romo tranzaron con los transportistas, por eso ellos se retiraron del
1453511169981956099	Tan falsa esta nota, porque el pasado, el presente y el futuro de #lasso, sus hijos y sus futuras generaciones está en manos de los paraísos fiscales.   #ParoNacionalEC #PandoraPapers #PapelesDePandora https://t.co/7uZckL9lH6	nespinosaa	2021-10-27 23:57:22+00:00	945	635.0	Tan falsa esta nota, porque el pasado, el presente y el futuro de , sus hijos y sus futuras generaciones está en manos de los paraísos fiscales.
1453511032547258368	Si los manifestantes quieren sacar a Lasso de la presidencia, a quién piensan poner de presidente? #ParoNacional #Ecuador	daamhoran	2021-10-27 23:56:49+00:00	242	258.0	Si los manifestantes quieren sacar a Lasso de la presidencia, a quién piensan poner de presidente?
1453510890402222082	Atentos ecuatorianos, no se relajen no están pasando alimentos a #Quito , hay que estar atentos y movilizados. @PoliciaEcuador  @FFAAECUADOR  @FaustoCoboM3  @MinGobiernoEc  llamen a movilizarse a la ciudadanía y a estar presentes.	ArellaProano	2021-10-27 23:56:15+00:00	3152	2325.0	Atentos ecuatorianos, no se relajen no están pasando alimentos a , hay que estar atentos y movilizados. llamen a movilizarse a la ciudadanía y a estar presentes.
1453510565054357509	@btsunike08 @BTS_twt 5/25 Idol  #TheSong #BUTTER #ParoNacional @BTS_twt	wintettee	2021-10-27 23:54:58+00:00	382	574.0	5 25 Idol
1453510478626541569	https://t.co/shcrsYaDYA @LassoGuillermo eres un mentiroso y un fracasso #LassoEsUnFracasso #LassoEvassor #LassoMentiroso #LassoEsMorenoRecargado  Evasor Evasor se vaya huyendo el Evasor... Evasión Evasión Lasso quiere privatización https://t.co/BLZyTjyPnb	Jpilot1818	2021-10-27 23:54:37+00:00	250	406.0	eres un mentiroso y un fracasso Evasor Evasor se vaya huyendo el Evasor... Evasión Evasión Lasso quiere privatización
1453510175390842882	#ParoNacional ✊🏻🔥 LASSO ESCUCHA, EL PUEBLO ESTA EN LA LUCHA ‼️ https://t.co/3aTbOJVZal	SofaCedeo10	2021-10-27 23:53:25+00:00	105	622.0	raised fist light skin tone  fire  LASSO ESCUCHA, EL PUEBLO ESTA EN LA LUCHA  double exclamation mark
