Id,cluster
Claudiaustral,
culloach,
SergioCaceres,
resunjo,
javidiegc,
vickyvasquezG1,
BascourtPaola,
Patrici49217611,
valpolalleva,
mpdpsicocirco,
thispaulaa,
PaseoscaninosA,
LUIS761349,
MarioElias77,
Marcos81945289,
jatirado_oc,
CarlosC76966226,
isidoro29350120,
chabeli77,
AprueboChDigno,
TiendaStrass,
Marcelo27932168,
Hirobertox,
joregam1026,
traductorchile,
Jadue_Pdte,
mikidiiaz,
rodrigomartin34,
Aviles2Angela,
Elba_Contreras,
Monyrica,
cpa_patrona,
JavierVilla1293,
Pancho_Ancho,
AdriazolaGarcia,
CerecedaReyes,
MiguelC98452909,
ampliadodeltren,
sandbrico,
AntolakeJuan,
dabakutt,
Ivan71605862,
elwaldo420,
LuderMrt,
Emp3Ratrozky41,
ProfeMPuga,
nicogadu,
JesusMatthei,
RafaSotomayorCl,
angelaudio1,
CeballosCarola,0.0
angiemottaav,
NancyAn48844564,
VillanuevaMao,
Leo65967291,
PuertaRestrepo3,
AndreitaCardi,
ccepedacolombia,
Luchyinsignares,
JaimeSerranoFot,
CarlosA26202259,
auditortot,
AngelFe11838613,
nicolasomanzano,
sandro_salas,
epssura,
AlessandroWun,
Alejo_Mon21,
oropesatoledo,
claudia05560939,
JaredRomleg,
thelatampost,
Compensar_info,
DianaPerafanCau,
jeandrabr,
bernygerardo,
Vernica74938910,
Gutierrezjudith,
bucaro1010983,
sarplastik88,
AsesinoPetro,
TinCadena,
mamertrol,
VanTokiRan,
tavoserna1997,
ALFONSOROSES1,
Alejand41301218,
josemorantesh,
jcvalderruten99,
nanalopez76,
puerto_armando,
haidy_camargo,
CurieAnti,
carloscardenakk,
robertoca64,
Chuchoprada77,
NoSoyLaChio,
JuanFeGTZ,
EnVozPolitica,
pastor_gaitan_,
HenaocC,
croactibo,0.0
carlosmrl11,
boogoodes,
cesarquiroga,
CarlPerezMur,
mariapa05527055,
LaboralistaEl,
Sara47751841,
CatamaJonathan,
cofla79,
muyfinanciero,
Ivanromani4,
ParanoidCamilo,
blanco_torresT,
KatsCarey,
Andresvgato,
carxla_,
anxietytogo_,
lmladolml,
OsaMayo20,
ana__amaya,
Bon_Ice1,
vmontenegr00,
Indomitacomounl,
Andres03630656,
leijhorena,0.0
heidypalacios13,
SalvadorCerin10,
mglondonbogota,
manuprisma,
Alex76753373,
_Claudiapaez_,
AndreaRoccag,
Harsh03333737,
Juan_Versador,
Jokeraton,
Anil36665555,
galvis_teo,
IAMGMIX,
danieLAQUELLORA,
_CaluOk_,
Nathali00803497,
stephanicorado,
JuanHer34254723,
carramaneado72,
GalvisMateo1,
EdsonSebastinP1,
lacoste19150631,
Diegofe57045740,
CarlosRmirez_,
huevochilo,
DimarciD,2.0
galbandanielaa,
llopezglez,
EdgardSolorzan2,
DiCastilloB,
LuisManuelFer,
ChikiJUN,
MarinaRiveraQu1,
samcarrion18_R,
cespinozanica,
La_Daniela89,
ColochoSand,
DalterEduardo,
SiempreNicarag4,
BlandonRocky,
Bervisalvarez,
manuelespin1984,
MarthaR77853526,
ydelmva89,
gabysaenzh24,
CodornizNica,
CaSuarez1979,
LeondeDios17,
Cruzmar1810,
MasshoA,
Territorio2D,
PereiraNorlix,
jumasolara,
CmdteRodrigo,
NicLibre10,
LaGloriaNic,
Fatymar6,
Katyusha214,
JairoBarberena,
BNBeliever,
osgdp08,
Colombianprotes,
OscarGu77804543,
_Anduray_Juan,
Nbalmaceda2,
AishaConto,
JuanMen13084978,
Jbarriosr2,
Mandela96410446,
DANNYHIT71GMAI5,
TaniaPlomoFSLN,
YaraGmez20,
Ricardo18590060,
EMELinG79,
Bismarc72181715,
MUMRA72,
DonMono21,2.0
